col_name,db_column_name,column_type,aggregation,data_type,tableobject,db_table,datatype,authentication,class,db,schema,server,username,warehouse,connection,directory,name,table,dstype,filename,fileid
C_ADDRESS,C_ADDRESS,column,Count,string,CUSTOMER (TPCH_SF1.CUSTOMER)_5E9766E42DD34B02A3B5EF207F92490D,CUSTOMER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,CUSTOMER,[TPCH_SF1].[CUSTOMER],table,Snowflake with calculations.tds,tdsid1
C_NATIONKEY,C_NATIONKEY,column,Sum,integer,CUSTOMER (TPCH_SF1.CUSTOMER)_5E9766E42DD34B02A3B5EF207F92490D,CUSTOMER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,CUSTOMER,[TPCH_SF1].[CUSTOMER],table,Snowflake with calculations.tds,tdsid1
C_PHONE,C_PHONE,column,Count,string,CUSTOMER (TPCH_SF1.CUSTOMER)_5E9766E42DD34B02A3B5EF207F92490D,CUSTOMER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,CUSTOMER,[TPCH_SF1].[CUSTOMER],table,Snowflake with calculations.tds,tdsid1
C_ACCTBAL,C_ACCTBAL,column,Sum,real,CUSTOMER (TPCH_SF1.CUSTOMER)_5E9766E42DD34B02A3B5EF207F92490D,CUSTOMER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,CUSTOMER,[TPCH_SF1].[CUSTOMER],table,Snowflake with calculations.tds,tdsid1
C_MKTSEGMENT,C_MKTSEGMENT,column,Count,string,CUSTOMER (TPCH_SF1.CUSTOMER)_5E9766E42DD34B02A3B5EF207F92490D,CUSTOMER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,CUSTOMER,[TPCH_SF1].[CUSTOMER],table,Snowflake with calculations.tds,tdsid1
C_COMMENT,C_COMMENT,column,Count,string,CUSTOMER (TPCH_SF1.CUSTOMER)_5E9766E42DD34B02A3B5EF207F92490D,CUSTOMER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,CUSTOMER,[TPCH_SF1].[CUSTOMER],table,Snowflake with calculations.tds,tdsid1
N_NATIONKEY,N_NATIONKEY,column,Sum,integer,NATION (TPCH_SF1.NATION)_7F2AB5D443444925B83F27A3D5BBC536,NATION,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,NATION,[TPCH_SF1].[NATION],table,Snowflake with calculations.tds,tdsid1
N_NAME,N_NAME,column,Count,string,NATION (TPCH_SF1.NATION)_7F2AB5D443444925B83F27A3D5BBC536,NATION,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,NATION,[TPCH_SF1].[NATION],table,Snowflake with calculations.tds,tdsid1
N_REGIONKEY,N_REGIONKEY,column,Sum,integer,NATION (TPCH_SF1.NATION)_7F2AB5D443444925B83F27A3D5BBC536,NATION,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,NATION,[TPCH_SF1].[NATION],table,Snowflake with calculations.tds,tdsid1
N_COMMENT,N_COMMENT,column,Count,string,NATION (TPCH_SF1.NATION)_7F2AB5D443444925B83F27A3D5BBC536,NATION,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,NATION,[TPCH_SF1].[NATION],table,Snowflake with calculations.tds,tdsid1
R_REGIONKEY,R_REGIONKEY,column,Sum,integer,REGION (TPCH_SF1.REGION)_D9B9436A46444D5F9466FBD7CD714C42,REGION,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,REGION,[TPCH_SF1].[REGION],table,Snowflake with calculations.tds,tdsid1
R_NAME,R_NAME,column,Count,string,REGION (TPCH_SF1.REGION)_D9B9436A46444D5F9466FBD7CD714C42,REGION,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,REGION,[TPCH_SF1].[REGION],table,Snowflake with calculations.tds,tdsid1
R_COMMENT,R_COMMENT,column,Count,string,REGION (TPCH_SF1.REGION)_D9B9436A46444D5F9466FBD7CD714C42,REGION,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,REGION,[TPCH_SF1].[REGION],table,Snowflake with calculations.tds,tdsid1
L_ORDERKEY,L_ORDERKEY,column,Sum,integer,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_PARTKEY,L_PARTKEY,column,Sum,integer,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_SUPPKEY,L_SUPPKEY,column,Sum,integer,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_LINENUMBER,L_LINENUMBER,column,Sum,integer,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_QUANTITY,L_QUANTITY,column,Sum,real,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_EXTENDEDPRICE,L_EXTENDEDPRICE,column,Sum,real,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_DISCOUNT,L_DISCOUNT,column,Sum,real,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_TAX,L_TAX,column,Sum,real,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
