name,datatype,calcid,role,formula,tsyntax,dataitem,addinfo,validate,tsformula,expr,filename,fileid
Region Grouping,string,[Calculation_396316787158536545],dimension,IF [R_NAME] = 'AMERICA' THEN 'USA' ELSE 'OTHER' END,,,,Yes,if( [R_NAME] = 'AMERICA' ) then 'USA' ELSE 'OTHER' ~,if( [REGION_1::R_NAME] = 'AMERICA' ) then 'USA' ELSE 'OTHER' ,SF Trial.tds,tdsid1
Profit,real,[Calculation_396316787159064930],measure,[O_TOTALPRICE]* 0.25,,,,No,[O_TOTALPRICE]* 0.25,[ORDERS_1::O_TOTALPRICE]* 0.25,SF Trial.tds,tdsid1
