destinationname,path_values
PART,CUSTOMER_ORDERS
SUPPLIER,CUSTOMER_ORDERS
PARTSUPP,ORDERS_LINEITEM
PART,ORDERS_LINEITEM
SUPPLIER,ORDERS_LINEITEM
REGION,CUSTOMER_NATION
LINEITEM,CUSTOMER_ORDERS
PARTSUPP,LINEITEM_PART
NATION,CUSTOMER_NATION
ORDERS,CUSTOMER_ORDERS
PART,LINEITEM_PART
SUPPLIER,LINEITEM_SUPPLIER
REGION,NATION_REGION
LINEITEM,ORDERS_LINEITEM
PARTSUPP,PART_PARTSUPP
